,title,artist,rank
0,Rapstar,Polo G,1
1,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2
2,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,3
3,Montero (Call Me By Your Name),Lil Nas X,4
4,Levitating,Dua Lipa Featuring DaBaby,5
5,Save Your Tears,The Weeknd,6
6,Astronaut In The Ocean,Masked Wolf,7
7,Kiss Me More,Doja Cat Featuring SZA,8
8,Up,Cardi B,9
9,Drivers License,Olivia Rodrigo,10
10,Deja Vu,Olivia Rodrigo,11
11,Solid,Young Thug & Gunna Featuring Drake,12
12,Blinding Lights,The Weeknd,13
13,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,14
14,Best Friend,Saweetie Featuring Doja Cat,15
15,Calling My Phone,Lil Tjay Featuring 6LACK,16
16,What You Know Bout Love,Pop Smoke,17
17,Ski,Young Thug & Gunna,18
18,Mood,24kGoldn Featuring iann dior,19
19,Heartbreak Anniversary,Giveon,20
20,The Good Ones,Gabby Barrett,21
21,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,22
22,Back In Blood,Pooh Shiesty Featuring Lil Durk,23
23,Go Crazy,Chris Brown & Young Thug,24
24,You Broke Me First.,Tate McRae,25
25,34+35,Ariana Grande,26
26,My Ex's Best Friend,Machine Gun Kelly X blackbear,27
27,What's Next,Drake,28
28,Dakiti,Bad Bunny & Jhay Cortez,29
29,Therefore I Am,Billie Eilish,30
30,Without You,The Kid LAROI,31
31,On Me,Lil Baby,32
32,Positions,Ariana Grande,33
33,You're Mines Still,Yung Bleu Featuring Drake,34
34,Forever After All,Luke Combs,35
35,Wants And Needs,Drake Featuring Lil Baby,36
36,Track Star,Mooski,37
37,We're Good,Dua Lipa,38
38,Heat Waves,Glass Animals,39
39,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,40
40,Hell Of A View,Eric Church,41
41,Made For You,Jake Owen,42
42,No More Parties,Coi Leray Featuring Lil Durk,43
43,Good Days,SZA,44
44,Starting Over,Chris Stapleton,45
45,Diamonds Dancing,Young Thug & Gunna Featuring Travis Scott,46
46,Goosebumps,Travis Scott & HVME,47
47,Tombstone,Rod Wave,48
48,Breaking Up Was Easy In The 90's,Sam Hunt,49
49,Somebody Like That,Tenille Arts,50
50,Streets,Doja Cat,51
51,What's Your Country Song,Thomas Rhett,52
52,Time Today,Moneybagg Yo,53
53,Telepatia,Kali Uchis,54
54,Cry Baby,Megan Thee Stallion Featuring DaBaby,55
55,Hold On,Justin Bieber,56
56,Street Runner,Rod Wave,57
57,Just The Way,Parmalee x Blanco Brown,58
58,Proud Of You,Young Thug Featuring Lil Uzi Vert & Yung Kayo,59
59,Willow,Taylor Swift,60
60,Damage,H.E.R.,61
61,Richer,Rod Wave Featuring Polo G,62
62,Glad You Exist,Dan + Shay,63
63,La Noche de Anoche,Bad Bunny & Rosalia,64
64,Settling Down,Miranda Lambert,65
65,Came And Saw,Young Thug Featuring Rowdy Rebel,66
66,Headshot,"Lil Tjay, Polo G & Fivio Foreign",67
67,Anyone,Justin Bieber,68
68,Down To One,Luke Bryan,69
69,Lady,Brett Young,70
70,Quicksand,Morray,71
71,One Too Many,Keith Urban Duet With P!nk,72
72,Famous Friends,Chris Young + Kane Brown,73
73,Gone,Dierks Bentley,74
74,My Head And My Heart,Ava Max,75
75,Almost Maybes,Jordan Davis,76
76,Paid The Fine,Young Thug & Gunna Featuring Lil Baby & YTB Trench,77
77,The Business,Tiesto,78
78,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,79
79,Masterpiece,DaBaby,80
80,pov,Ariana Grande,81
81,Long Live,Florida Georgia Line,82
82,Hellcats & Trackhawks,Lil Durk,83
83,Follow You,Imagine Dragons,84
84,Momma's House,Dustin Lynch,85
85,Nobody,Dylan Scott,86
86,Big Gangsta,Kevin Gates,87
87,Pick Up Your Feelings,Jazmine Sullivan,88
88,Lil Bit,Nelly & Florida Georgia Line,89
89,Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift,90
90,Chasing After You,Ryan Hurd With Maren Morris,91
91,Wasted On You,Morgan Wallen,92
92,Run It Up,Lil Tjay Featuring Offset & Moneybagg Yo,93
93,Arcade,Duncan Laurence,94
94,You Got It,VEDO,95
95,Go!,Moneybagg Yo Featuring BIG30,96
96,Drankin N Smokin,Future & Lil Uzi Vert,97
97,Monsters,All Time Low Featuring Demi Lovato & blackbear ,98
98,Slatty,Young Thug & Gunna Featuring Yak Gotti & Lil Duke,99
99,4 Da Gang,42 Dugg & Roddy Ricch,100
